"MasterID","yr","COMID","pChem","pHab","pOverall","biological_condition","stress_condition","SQI","County","SMC_region","Regional_board","Constraint_class","ASCI","blc","bs","Cond","CSCI","Ev_FlowHab","H_AqHab","H_SubNat","hy","CRAM","IPI","PCT_SAFN","ps","TN","TP","XCMG","lon","lat","ASCI_ptile","blc_ptile","bs_ptile","Cond_ptile","CRAM_ptile","CSCI_ptile","Ev_FlowHab_ptile","H_AqHab_ptile","H_SubNat_ptile","hy_ptile","IPI_ptile","PCT_SAFN_ptile","ps_ptile","TN_ptile","TP_ptile","XCMG_ptile"
"901M14134",2016,20348415,0.957974084139215,0.738796010200082,0.989022663102167,"Impacted for CSCI and ASCI","Stressed by chemistry degradation","Impacted and stressed","Orange","San Juan","San Diego","likely constrained",0.71,93.3,69.4,1358,0.67,0.79,0.83,0.82,75,75,0.93,0.84,62.5,0.62,0.11,0.48,-117.63283,33.59231,0.445692883895131,0.790262172284644,0.666666666666667,0.539325842696629,0.681647940074906,0.441947565543071,0.719101123595506,0.722846441947566,0.606741573033708,0.756554307116105,0.573033707865168,0.704119850187266,0.565543071161049,0.389513108614232,0.595505617977528,0.430711610486891
"901S00531",2009,20348625,0.998730291846805,0.999550293946973,0.999999429004558,"Impacted for CSCI and ASCI","Stressed by chemistry and habitat degradation","Impacted and stressed","Orange","San Juan","San Diego","possibly constrained",0.7,42,42,2020,0.5,0.64,0,0.18,33,36,0.22,0.2,25,0.43,0.79,0,-117.772,33.55975,0.426966292134831,0.116104868913858,0.277153558052434,0.745318352059925,0.101123595505618,0.209737827715356,0.453183520599251,0.0374531835205993,0.127340823970037,0.134831460674157,0.052434456928839,0.176029962546816,0.213483146067416,0.288389513108614,0.913857677902622,0.048689138576779
"SMC00963",2010,20350529,0.906578823253979,0.590573099289127,0.961750857144114,"Impacted for ASCI","Stressed by chemistry degradation","Impacted and stressed","Orange","San Juan","San Diego","likely constrained",0.56,92,75,1140,0.82,0.76,0.63,0.77,75,83,0.96,1,88,0.64,0.08,0.62,-117.6514,33.56401,0.149812734082397,0.756554307116105,0.771535580524345,0.411985018726592,0.838951310861423,0.659176029962547,0.674157303370786,0.329588014981273,0.531835205992509,0.756554307116105,0.636704119850187,1,0.958801498127341,0.404494382022472,0.48314606741573,0.561797752808989
"SMC01257",2011,20348363,0.873880486607627,0.94473261870182,0.993029704764203,"Impacted for CSCI and ASCI","Stressed by habitat degradation","Impacted and stressed","Orange","San Juan","San Diego","likely constrained",0.35,88,72,905,0.72,0.97,0.68,0.88,58,77,0.88,0.88,88,0.4,0.11,0.29,-117.61859,33.60842,0.0112359550561798,0.595505617977528,0.700374531835206,0.303370786516854,0.726591760299625,0.531835205992509,0.906367041198502,0.378277153558052,0.722846441947566,0.363295880149813,0.49438202247191,0.737827715355805,0.958801498127341,0.273408239700375,0.595505617977528,0.303370786516854
"SMC01555",2011,20348689,0.983043493092559,0.999640892361635,0.99999391078885,"Impacted for CSCI and ASCI","Stressed by chemistry and habitat degradation","Impacted and stressed","Orange","San Juan","San Diego","possibly constrained",0.39,63,36,1969,0.66,1,0.08,0,33,39,0.27,0.12,25,0.65,0.06,0.01,-117.77966,33.54998,0.0149812734082397,0.224719101123595,0.235955056179775,0.726591760299625,0.191011235955056,0.411985018726592,1,0.0674157303370786,0.101123595505618,0.134831460674157,0.0823970037453183,0.0786516853932584,0.213483146067416,0.408239700374532,0.423220973782772,0.0674157303370786
"SMC01934",2012,20350681,0.991962059374077,0.984690829823713,0.999876945799091,"Impacted for CSCI and ASCI","Stressed by chemistry and habitat degradation","Impacted and stressed","Orange","San Juan","San Diego","likely constrained",0.57,67,36,2797,0.58,1,0.85,0.57,42,43,0.84,0.99,25,0.24,0.02,0.22,-117.66595,33.49,0.172284644194757,0.318352059925094,0.235955056179775,0.887640449438202,0.224719101123595,0.307116104868914,1,0.760299625468165,0.325842696629214,0.243445692883895,0.426966292134831,0.857677902621723,0.213483146067416,0.161048689138577,0.254681647940075,0.228464419475655
"SMC01987",2012,20350507,0.988622811816795,0.95176327177528,0.999451201665645,"Impacted for CSCI","Stressed by chemistry and habitat degradation","Impacted and stressed","Orange","San Juan","San Diego","likely constrained",0.84,67,58,2420,0.74,0.57,0.77,0.83,58,58,0.76,0.86,50,0.24,0.04,0.23,-117.71185,33.59028,0.685393258426966,0.318352059925094,0.426966292134831,0.823970037453184,0.337078651685393,0.569288389513109,0.352059925093633,0.584269662921348,0.629213483146067,0.363295880149813,0.355805243445693,0.726591760299625,0.524344569288389,0.161048689138577,0.367041198501873,0.243445692883895
"904M21713",2015,20342575,0.992380333622986,0.995693105165609,0.999967182898241,"Impacted for CSCI and ASCI","Stressed by chemistry and habitat degradation","Impacted and stressed","San Diego","Central San Diego","San Diego","likely constrained",0.68,25,38.9,1784,0.52,0.37,0.48,0.23,50,35,0.44,0.25,25,9.5,0.08,0.33,-117.09511,33.11944,0.397003745318352,0.0449438202247191,0.239700374531835,0.681647940074906,0.0786516853932584,0.228464419475655,0.187265917602996,0.232209737827715,0.142322097378277,0.288389513108614,0.191011235955056,0.198501872659176,0.213483146067416,0.932584269662921,0.48314606741573,0.329588014981273
"904M21720",2015,20341899,0.992094686583745,0.853755619972766,0.998843892340519,"Impacted for CSCI","Stressed by chemistry degradation","Impacted and stressed","San Diego","Central San Diego","San Diego","likely constrained",0.99,62.5,88.9,2107,0.76,0.58,0.99,0.99,58.3,71,1.12,1,75,0.3,0.12,0.78,-117.28243,33.15678,0.891385767790262,0.191011235955056,0.932584269662921,0.760299625468165,0.569288389513109,0.588014981273408,0.374531835205993,0.973782771535581,0.913857677902622,0.400749063670412,0.921348314606742,1,0.842696629213483,0.209737827715356,0.632958801498127,0.749063670411985
"904S01814",2010,20341999,0.999999999996198,0.821967843143572,0.999999999999323,"Impacted for CSCI and ASCI","Stressed by chemistry degradation","Impacted and stressed","San Diego","Central San Diego","San Diego","possibly constrained",0.58,38,42,10739,0.46,0.92,0.85,0.9,75,51,0.93,0.69,50,1.3,0.11,0.45,-117.22635,33.02295,0.187265917602996,0.0973782771535581,0.277153558052434,1,0.273408239700375,0.157303370786517,0.865168539325843,0.760299625468165,0.745318352059925,0.756554307116105,0.573033707865168,0.49812734082397,0.524344569288389,0.573033707865168,0.595505617977528,0.397003745318352
